,precision,recall,f1-score,support
0,0.9908443540183113,0.9938775510204082,0.9923586347427407,980.0
1,0.9912203687445127,0.9947136563876652,0.9929639401934917,1135.0
2,0.991236611489776,0.9864341085271318,0.9888295288975231,1032.0
3,0.9872423945044161,0.996039603960396,0.99162148841794,1010.0
4,0.9908350305498982,0.9908350305498982,0.9908350305498982,982.0
5,0.9876957494407159,0.9899103139013453,0.9888017917133259,892.0
6,0.9947534102833159,0.9895615866388309,0.9921507064364208,958.0
7,0.9931170108161259,0.9824902723735408,0.9877750611246944,1028.0
8,0.988659793814433,0.9845995893223819,0.9866255144032923,974.0
9,0.9783464566929134,0.9851337958374629,0.9817283950617285,1009.0
accuracy,0.9894,0.9894,0.9894,0.9894
macro avg,0.9893951180354419,0.9893595508519061,0.9893690091541055,10000.0
weighted avg,0.9894162463619796,0.9894,0.9893996850748518,10000.0
