,precision,recall,f1-score,support
0,0.9818548387096774,0.9938775510204082,0.9878296146044625,980.0
1,0.9903593339176161,0.9955947136563876,0.992970123022847,1135.0
2,0.98539435248296,0.9806201550387597,0.9830014570179698,1032.0
3,0.9822834645669292,0.9881188118811881,0.9851924975320829,1010.0
4,0.9838546922300706,0.9928716904276986,0.988342625443487,982.0
5,0.9821826280623608,0.9887892376681614,0.9854748603351955,892.0
6,0.9947089947089947,0.9812108559498957,0.9879138202837625,958.0
7,0.979631425800194,0.9824902723735408,0.9810587663914522,1028.0
8,0.9845201238390093,0.9794661190965093,0.9819866186309831,974.0
9,0.9919191919191919,0.9732408325074331,0.9824912456228114,1009.0
accuracy,0.9857,0.9857,0.9857,0.9857
macro avg,0.9856709046237004,0.9856280239619981,0.9856261628885055,10000.0
weighted avg,0.9857322456828024,0.9857,0.9856930556760002,10000.0
