,precision,recall,f1-score,support
0,0.9749498997995992,0.9928571428571429,0.9838220424671384,980.0
1,0.9903339191564148,0.9929515418502203,0.9916410030796304,1135.0
2,0.9815533980582525,0.9796511627906976,0.9806013579049466,1032.0
3,0.9851924975320829,0.9881188118811881,0.9866534849233811,1010.0
4,0.9827760891590679,0.9877800407331976,0.9852717115286947,982.0
5,0.9789356984478935,0.9899103139013453,0.9843924191750278,892.0
6,0.9936708860759493,0.9832985386221295,0.9884575026232948,958.0
7,0.9776699029126213,0.9795719844357976,0.9786200194363459,1028.0
8,0.9854620976116303,0.9743326488706365,0.9798657718120806,974.0
9,0.9899091826437941,0.9722497522299306,0.981,1009.0
accuracy,0.9841,0.9841,0.9841,0.9841
macro avg,0.9840453571397306,0.9840721938172287,0.984032531295054,10000.0
weighted avg,0.9841424009335634,0.9841,0.9840955549107644,10000.0
