,precision,recall,f1-score,support
0,0.9858442871587462,0.9948979591836735,0.9903504316912138,980.0
1,0.9938488576449912,0.9964757709251101,0.9951605807303123,1135.0
2,0.9960435212660732,0.9757751937984496,0.9858051884483602,1032.0
3,0.9795719844357976,0.997029702970297,0.9882237487733071,1010.0
4,0.9888211382113821,0.9908350305498982,0.9898270600203457,982.0
5,0.9842873176206509,0.9831838565022422,0.9837352776219853,892.0
6,0.9957671957671957,0.9822546972860126,0.9889647924330005,958.0
7,0.9883833494675702,0.9931906614785992,0.9907811741872878,1028.0
8,0.989648033126294,0.9815195071868583,0.9855670103092783,974.0
9,0.9812807881773399,0.9871159563924677,0.984189723320158,1009.0
accuracy,0.9884,0.9884,0.9884,0.9884
macro avg,0.9883496472876041,0.9882278336273609,0.9882604987535248,10000.0
weighted avg,0.9884469674444158,0.9884,0.9883950680591456,10000.0
