,precision,recall,f1-score,support
0,0.9878665318503539,0.996938775510204,0.9923819197562214,980.0
1,0.9938325991189427,0.9938325991189427,0.9938325991189427,1135.0
2,0.9883720930232558,0.9883720930232558,0.9883720930232558,1032.0
3,0.9920159680638723,0.9841584158415841,0.9880715705765407,1010.0
4,0.978978978978979,0.9959266802443992,0.9873801110550228,982.0
5,0.977728285077951,0.984304932735426,0.9810055865921786,892.0
6,0.9936708860759493,0.9832985386221295,0.9884575026232948,958.0
7,0.9931305201177625,0.9844357976653697,0.9887640449438202,1028.0
8,0.9866529774127311,0.9866529774127311,0.9866529774127311,974.0
9,0.9850597609561753,0.9801783944499505,0.9826130153999006,1009.0
accuracy,0.9879,0.9879,0.9879,0.9879
macro avg,0.9877308600675974,0.9878099204623993,0.9877531420501908,10000.0
weighted avg,0.9879336498951349,0.9879,0.9878999078193521,10000.0
