,precision,recall,f1-score,support
0,0.9888776541961577,0.9979591836734694,0.9933976637887252,980.0
1,0.9947183098591549,0.9955947136563876,0.9951563188022897,1135.0
2,0.9922178988326849,0.9883720930232558,0.9902912621359223,1032.0
3,0.9872298624754421,0.995049504950495,0.9911242603550297,1010.0
4,0.9928644240570846,0.9918533604887984,0.9923586347427407,982.0
5,0.98989898989899,0.9887892376681614,0.9893438025799215,892.0
6,0.9978835978835979,0.9843423799582464,0.9910667367314767,958.0
7,0.988360814742968,0.9912451361867705,0.989800874210782,1028.0
8,0.9917780061664954,0.9907597535934292,0.9912686183872624,974.0
9,0.9880952380952381,0.9871159563924677,0.9876053544868617,1009.0
accuracy,0.9912,0.9912,0.9912,0.9912
macro avg,0.9911924796207814,0.9911081319591482,0.9911413526221011,10000.0
weighted avg,0.9912146456484379,0.9912,0.9911985738518939,10000.0
