,precision,recall,f1-score,support
0,0.974,0.9938775510204082,0.9838383838383838,980.0
1,0.9877515310586177,0.9947136563876652,0.9912203687445127,1135.0
2,0.9825581395348837,0.9825581395348837,0.9825581395348837,1032.0
3,0.991044776119403,0.9861386138613861,0.9885856079404466,1010.0
4,0.9848024316109423,0.9898167006109979,0.9873031995937024,982.0
5,0.9800664451827242,0.992152466367713,0.9860724233983287,892.0
6,0.9936373276776246,0.9780793319415448,0.9857969489742242,958.0
7,0.9786407766990292,0.980544747081712,0.9795918367346939,1028.0
8,0.9783950617283951,0.9763860369609856,0.9773895169578621,974.0
9,0.9898477157360406,0.9663032705649157,0.9779338014042126,1009.0
accuracy,0.9841,0.9841,0.9841,0.9841
macro avg,0.984074420534766,0.9840570514332212,0.9840290227121251,10000.0
weighted avg,0.984152888223995,0.9841,0.9840903022793196,10000.0
