,precision,recall,f1-score,support
0,0.9799398194583752,0.996938775510204,0.9883662114314617,980.0
1,0.9947229551451188,0.9964757709251101,0.9955985915492958,1135.0
2,0.9844660194174757,0.9825581395348837,0.9835111542192047,1032.0
3,0.993006993006993,0.9841584158415841,0.9885629040278469,1010.0
4,0.9839034205231388,0.9959266802443992,0.9898785425101215,982.0
5,0.9821627647714605,0.9876681614349776,0.9849077697037452,892.0
6,0.9947257383966245,0.9843423799582464,0.9895068205666316,958.0
7,0.9921568627450981,0.9844357976653697,0.98828125,1028.0
8,0.989648033126294,0.9815195071868583,0.9855670103092783,974.0
9,0.9841584158415841,0.9851337958374629,0.9846458642892522,1009.0
accuracy,0.988,0.988,0.988,0.988
macro avg,0.9878891022432162,0.9879157424139097,0.9878826118606838,10000.0
weighted avg,0.9880357455399775,0.988,0.9879984396366234,10000.0
