,precision,recall,f1-score,support
0,0.9868287740628167,0.9938775510204082,0.9903406202338587,980.0
1,0.9912357581069238,0.9964757709251101,0.9938488576449912,1135.0
2,0.9941176470588236,0.9825581395348837,0.9883040935672515,1032.0
3,0.9910536779324056,0.9871287128712871,0.9890873015873015,1010.0
4,0.9799196787148594,0.9938900203665988,0.9868554095045501,982.0
5,0.9865168539325843,0.984304932735426,0.9854096520763187,892.0
6,0.993704092339979,0.988517745302714,0.9911041339612768,958.0
7,0.9835907335907336,0.9912451361867705,0.9874031007751939,1028.0
8,0.988659793814433,0.9845995893223819,0.9866255144032923,974.0
9,0.987012987012987,0.979187314172448,0.9830845771144279,1009.0
accuracy,0.9883,0.9883,0.9883,0.9883
macro avg,0.9882639996566546,0.9881784912438027,0.9882063260868461,10000.0
weighted avg,0.9883243106379547,0.9883,0.9882971419475436,10000.0
