,precision,recall,f1-score,support
0,0.9799196787148594,0.9959183673469387,0.9878542510121457,980.0
1,0.9903593339176161,0.9955947136563876,0.992970123022847,1135.0
2,0.989247311827957,0.9806201550387597,0.9849148418491483,1032.0
3,0.996011964107677,0.9891089108910891,0.992548435171386,1010.0
4,0.97997997997998,0.9969450101832994,0.9883897021706209,982.0
5,0.9843575418994414,0.9876681614349776,0.9860100727476216,892.0
6,0.9936708860759493,0.9832985386221295,0.9884575026232948,958.0
7,0.9854791868344628,0.9902723735408561,0.9878699660359049,1028.0
8,0.9855072463768116,0.9774127310061602,0.9814432989690723,974.0
9,0.9879518072289156,0.9752229930624381,0.9815461346633417,1009.0
accuracy,0.9873,0.9873,0.9873,0.9873
macro avg,0.9872484936963671,0.9872061954783036,0.9872004328265384,10000.0
weighted avg,0.987337845079848,0.9873,0.9872922400025899,10000.0
