,precision,recall,f1-score,support
0,0.9818731117824774,0.9948979591836735,0.988342625443487,980.0
1,0.9912357581069238,0.9964757709251101,0.9938488576449912,1135.0
2,0.9845559845559846,0.9883720930232558,0.9864603481624757,1032.0
3,0.9940239043824701,0.9881188118811881,0.9910625620655412,1010.0
4,0.9848942598187311,0.9959266802443992,0.9903797468354429,982.0
5,0.9843400447427293,0.9865470852017937,0.9854423292273236,892.0
6,0.9947201689545935,0.9832985386221295,0.9889763779527558,958.0
7,0.9931506849315068,0.9873540856031129,0.9902439024390245,1028.0
8,0.9906639004149378,0.9804928131416838,0.9855521155830754,974.0
9,0.9860834990059643,0.9831516352824579,0.9846153846153847,1009.0
accuracy,0.9886,0.9886,0.9886,0.9886
macro avg,0.9885541316696319,0.9884635473108803,0.9884924249969502,10000.0
weighted avg,0.9886277353008023,0.9886,0.9885976747855629,10000.0
