,precision,recall,f1-score,support
0,0.9799196787148594,0.9959183673469387,0.9878542510121457,980.0
1,0.9929701230228472,0.9955947136563876,0.9942806863176419,1135.0
2,0.9864734299516909,0.9893410852713178,0.9879051765844219,1032.0
3,0.9862340216322517,0.9930693069306931,0.9896398618648249,1010.0
4,0.9928716904276986,0.9928716904276986,0.9928716904276986,982.0
5,0.9810267857142857,0.9854260089686099,0.9832214765100671,892.0
6,0.9957671957671957,0.9822546972860126,0.9889647924330005,958.0
7,0.9892051030421982,0.980544747081712,0.98485588666341,1028.0
8,0.9906735751295337,0.9815195071868583,0.9860752965446106,974.0
9,0.9851042701092354,0.9831516352824579,0.9841269841269841,1009.0
accuracy,0.9881,0.9881,0.9881,0.9881
macro avg,0.9880245873511798,0.9879691759438686,0.9879796102484806,10000.0
weighted avg,0.9881289299376095,0.9881,0.9880975293187381,10000.0
