,precision,recall,f1-score,support
0,0.9938962360122076,0.996938775510204,0.9954151808456444,980.0
1,0.9938542581211589,0.9973568281938326,0.9956024626209323,1135.0
2,0.9941463414634146,0.9874031007751938,0.9907632474477394,1032.0
3,0.9872047244094488,0.9930693069306931,0.9901283316880554,1010.0
4,0.9848942598187311,0.9959266802443992,0.9903797468354429,982.0
5,0.9877232142857143,0.992152466367713,0.9899328859060403,892.0
6,0.9978925184404637,0.988517745302714,0.9931830099632931,958.0
7,0.9854791868344628,0.9902723735408561,0.9878699660359049,1028.0
8,0.9907312049433573,0.9876796714579056,0.9892030848329049,974.0
9,0.9939698492462311,0.9801783944499505,0.9870259481037925,1009.0
accuracy,0.991,0.991,0.991,0.991
macro avg,0.990979179357519,0.9909495342773462,0.990950386427975,10000.0
weighted avg,0.9910235368824187,0.991,0.9909978639188807,10000.0
