,precision,recall,f1-score,support
0,0.992849846782431,0.9918367346938776,0.992343032159265,980.0
1,0.9921121822962313,0.9973568281938326,0.9947275922671353,1135.0
2,0.9921875,0.9844961240310077,0.9883268482490272,1032.0
3,0.9959919839679359,0.9841584158415841,0.9900398406374502,1010.0
4,0.9779338014042126,0.9928716904276986,0.9853461344113189,982.0
5,0.9843575418994414,0.9876681614349776,0.9860100727476216,892.0
6,0.9885892116182573,0.9947807933194155,0.9916753381893861,958.0
7,0.9864734299516909,0.9931906614785992,0.9898206495395055,1028.0
8,0.9876416065911432,0.9845995893223819,0.9861182519280205,974.0
9,0.9889558232931727,0.9762140733399405,0.9825436408977556,1009.0
accuracy,0.9888,0.9888,0.9888,0.9888
macro avg,0.9887092927804517,0.9887173072083316,0.9886951401026487,10000.0
weighted avg,0.9888290002157071,0.9888,0.9887962736814663,10000.0
