,precision,recall,f1-score,support
0,0.9798590130916415,0.9928571428571429,0.9863152559553979,980.0
1,0.9912203687445127,0.9947136563876652,0.9929639401934917,1135.0
2,0.9787644787644788,0.9825581395348837,0.9806576402321083,1032.0
3,0.9861111111111112,0.9841584158415841,0.9851337958374629,1010.0
4,0.9847405900305188,0.9857433808553971,0.9852417302798983,982.0
5,0.9832589285714286,0.9876681614349776,0.9854586129753915,892.0
6,0.9936842105263158,0.9853862212943633,0.989517819706499,958.0
7,0.9748305905130688,0.9795719844357976,0.9771955361475012,1028.0
8,0.9764344262295082,0.9784394250513347,0.9774358974358975,974.0
9,0.9888438133874239,0.9663032705649157,0.9774436090225564,1009.0
accuracy,0.9838,0.9838,0.9838,0.9838
macro avg,0.9837747530970008,0.9837399798258062,0.9837363837786205,10000.0
weighted avg,0.9838302198944775,0.9838,0.9837941551424967,10000.0
