,precision,recall,f1-score,support
0,0.9898785425101214,0.9979591836734694,0.9939024390243902,980.0
1,0.9947136563876652,0.9947136563876652,0.9947136563876652,1135.0
2,0.9922330097087378,0.9903100775193798,0.9912706110572259,1032.0
3,0.9901185770750988,0.9920792079207921,0.9910979228486647,1010.0
4,0.9888551165146909,0.9938900203665988,0.9913661757237175,982.0
5,0.9887640449438202,0.9865470852017937,0.9876543209876543,892.0
6,0.9957894736842106,0.9874739039665971,0.9916142557651992,958.0
7,0.9874152952565344,0.9922178988326849,0.9898107714701602,1028.0
8,0.9826707441386341,0.9897330595482546,0.9861892583120205,974.0
9,0.993963782696177,0.979187314172448,0.9865202196704942,1009.0
accuracy,0.9905,0.9905,0.9905,0.9905
macro avg,0.9904402242915691,0.9904111407589683,0.9904139631247192,10000.0
weighted avg,0.9905178453877163,0.9905,0.990497297115161,10000.0
