,precision,recall,f1-score,support
0,0.9759277833500501,0.9928571428571429,0.9843196762771876,980.0
1,0.9877515310586177,0.9947136563876652,0.9912203687445127,1135.0
2,0.9825412221144519,0.9815891472868217,0.9820649539505575,1032.0
3,0.9871031746031746,0.9851485148514851,0.9861248761149654,1010.0
4,0.9858012170385395,0.9898167006109979,0.9878048780487804,982.0
5,0.9800664451827242,0.992152466367713,0.9860724233983287,892.0
6,0.9947089947089947,0.9812108559498957,0.9879138202837625,958.0
7,0.9795520934761441,0.9785992217898832,0.9790754257907542,1028.0
8,0.9794026776519053,0.9763860369609856,0.9778920308483291,974.0
9,0.9878665318503539,0.9682854311199207,0.9779779779779779,1009.0
accuracy,0.9841,0.9841,0.9841,0.9841
macro avg,0.9840721671034955,0.9840759174182511,0.9840466431435158,10000.0
weighted avg,0.9841346334935391,0.9841,0.984090414591576,10000.0
