,precision,recall,f1-score,support
0,0.9808660624370594,0.9938775510204082,0.9873289406994425,980.0
1,0.9886064855390009,0.9938325991189427,0.9912126537785589,1135.0
2,0.9844054580896686,0.9786821705426356,0.9815354713313897,1032.0
3,0.9851337958374629,0.9841584158415841,0.9846458642892522,1010.0
4,0.9828456104944501,0.9918533604887984,0.9873289406994424,982.0
5,0.9778516057585825,0.9899103139013453,0.9838440111420613,892.0
6,0.9957761351636748,0.9843423799582464,0.9900262467191602,958.0
7,0.9795719844357976,0.9795719844357976,0.9795719844357976,1028.0
8,0.9815005138746146,0.9804928131416838,0.9809964047252183,974.0
9,0.9908998988877654,0.9712586719524281,0.980980980980981,1009.0
accuracy,0.9848,0.9848,0.9848,0.9848
macro avg,0.9847457550518076,0.9847980260401871,0.9847471498801303,10000.0
weighted avg,0.9848359726640098,0.9848,0.9847936983344956,10000.0
